Virus Strain Name	Accession ID	Data Source	Related ID	Lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location	Originating Lab	Submission Date	Submitting Lab	Create Time	Last Update Time
hCoV-19/Singapore/R9MR55/2023	EPI_ISL_16807764	GISAID	 	XBF	Complete	29789	High	0/1/-/-/-	Homo sapiens	2023-01-28	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R8MR62/2023	EPI_ISL_16807841	GISAID	 	XBB.1.2	Complete	29732	Low	198/8/NA/NA/NA	Homo sapiens	2023-01-27	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:09:47
hCoV-19/Singapore/R8MR16/2023	EPI_ISL_16807721	GISAID	 	XBB.1.9	Complete	29836	High	0/1/-/-/-	Homo sapiens	2023-01-29	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R8MR11/2023	EPI_ISL_16807766	GISAID	 	XBB.1.1	Complete	29821	High	0/0/-/-/-	Homo sapiens	2023-01-27	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R9MR64/2023	EPI_ISL_16807722	GISAID	 	BM.1.1.1	Complete	29826	High	0/0/-/-/-	Homo sapiens	2023-01-29	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R9MR53/2023	EPI_ISL_16807723	GISAID	 	XBB.1	Complete	29825	High	0/0/-/-/-	Homo sapiens	2023-01-27	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R8MR39/2023	EPI_ISL_16807800	GISAID	 	XBB.1.9.1	Complete	29790	High	0/1/-/-/-	Homo sapiens	2023-01-26	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R8MR45/2023	EPI_ISL_16807768	GISAID	 	XBF	Complete	29791	High	0/1/-/-/-	Homo sapiens	2023-01-26	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R8MR65/2023	EPI_ISL_16807724	GISAID	 	XBB.1.2	Complete	29833	High	0/2/-/-/-	Homo sapiens	2023-01-27	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R8MR80/2023	EPI_ISL_16807725	GISAID	 	XBB.1	Complete	29834	High	0/0/-/-/-	Homo sapiens	2023-01-28	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R8MR85/2023	EPI_ISL_16807846	GISAID	 	XBB.1.5	Partial	29508	Low	167/16/NA/NA/NA	Homo sapiens	2023-01-29	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:09:47
hCoV-19/Singapore/R8MR50/2023	EPI_ISL_16807847	GISAID	 	XBF	Complete	29789	Low	684/5/NA/NA/NA	Homo sapiens	2023-01-27	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:09:47
hCoV-19/Singapore/R9MR59/2023	EPI_ISL_16807762	GISAID	 	XBB.1.5	Complete	29791	High	0/0/-/-/-	Homo sapiens	2023-01-28	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R9MR26/2023	EPI_ISL_16807718	GISAID	 	XBB.1.5	Complete	29829	High	0/1/-/-/-	Homo sapiens	2023-01-26	Singapore		2023-02-03		2023-02-07 04:09:47	2023-02-07 04:18:20
hCoV-19/Singapore/R10MR91/2023	EPI_ISL_16847518	GISAID	 	XBF	Complete	29821	High	0/4/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR132/2023	EPI_ISL_16847595	GISAID	 	CJ.1	Complete	29834	High	0/1/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR104/2023	EPI_ISL_16847599	GISAID	 	CH.1.1.1	Complete	29832	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR135/2023	EPI_ISL_16847581	GISAID	 	BQ.1.10	Complete	29822	High	0/1/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR120/2023	EPI_ISL_16847597	GISAID	 	CH.1.1.1	Complete	29836	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR27/2023	EPI_ISL_16847585	GISAID	 	BQ.1.1.13	Complete	29828	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR76/2023	EPI_ISL_16847596	GISAID	 	CH.1.1.1	Complete	29834	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR114/2023	EPI_ISL_16847631	GISAID	 	BN.1.3	Complete	29749	High	0/2/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR137/2023	EPI_ISL_16847628	GISAID	 	BN.1.3	Complete	29838	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR14/2023	EPI_ISL_16847530	GISAID	 	XBB.1	Complete	29824	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR22/2023	EPI_ISL_16847567	GISAID	 	XBB.1.2	Complete	29797	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR42/2023	EPI_ISL_16847565	GISAID	 	XBB.1	Complete	29789	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR133/2023	EPI_ISL_16847511	GISAID	 	XBL	Complete	29786	High	0/2/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR155/2023	EPI_ISL_16847575	GISAID	 	XBB.1.2	Complete	29736	Low	304/6/NA/NA/NA	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR146/2023	EPI_ISL_16847574	GISAID	 	XBB.1	Partial	29503	High	0/2/NA/NA/NA	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR63/2023	EPI_ISL_16847602	GISAID	 	CH.1.1.1	Complete	29832	High	0/1/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR116/2023	EPI_ISL_16847648	GISAID	 	BA.2.61	Complete	29780	Low	0/53/NA/NA/NA	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR8/2023	EPI_ISL_16847576	GISAID	 	XBB.1	Partial	29505	Low	108/26/NA/NA/NA	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR98/2023	EPI_ISL_16847649	GISAID	 	BA.5.2.1	Complete	29728	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR58/2023	EPI_ISL_16847569	GISAID	 	XBB.1.9.1	Complete	29661	High	0/2/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR31/2023	EPI_ISL_16847640	GISAID	 	BA.2.75.2	Complete	29830	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR57/2023	EPI_ISL_16847613	GISAID	 	CH.1.1.3	Complete	29833	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR18/2023	EPI_ISL_16847559	GISAID	 	XBB.1	Complete	29825	High	0/3/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR97/2023	EPI_ISL_16847526	GISAID	 	XBB.1	Complete	29821	High	0/3/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR32/2023	EPI_ISL_16847541	GISAID	 	XBB.1.9.1	Complete	29832	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR115/2023	EPI_ISL_16847548	GISAID	 	XBB.1	Complete	29806	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR154/2023	EPI_ISL_16847533	GISAID	 	XBB.1	Complete	29709	High	0/9/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR67/2023	EPI_ISL_16847507	GISAID	 	XBL	Complete	29811	High	0/3/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR153/2023	EPI_ISL_16847532	GISAID	 	XBB.1	Complete	29811	High	0/2/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR6/2023	EPI_ISL_16847546	GISAID	 	XBB.1.9.1	Complete	29825	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR94/2023	EPI_ISL_16847527	GISAID	 	XBB.1	Complete	29819	High	0/4/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR13/2023	EPI_ISL_16847552	GISAID	 	XBB.1	Complete	29827	High	0/2/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR2/2023	EPI_ISL_16847547	GISAID	 	XBB.1.9.1	Complete	29833	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR131/2023	EPI_ISL_16847509	GISAID	 	XBL	Complete	29811	High	0/3/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR19/2023	EPI_ISL_16847610	GISAID	 	CH.1.1.3	Complete	29830	High	0/2/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR26/2023	EPI_ISL_16847579	GISAID	 	BQ.1.23	Complete	29795	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR35/2023	EPI_ISL_16847612	GISAID	 	CH.1.1.3	Complete	29826	High	0/3/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR48/2023	EPI_ISL_16847577	GISAID	 	BQ.1.23	Complete	29825	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR82/2023	EPI_ISL_16847578	GISAID	 	BQ.1.23	Complete	29812	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR33/2023	EPI_ISL_16847611	GISAID	 	CH.1.1.3	Complete	29822	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR39/2023	EPI_ISL_16847646	GISAID	 	CM.8.1	Partial	29831	Low	65/7/NA/NA/NA	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR37/2023	EPI_ISL_16847608	GISAID	 	CH.1.1.3	Complete	29831	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR141/2023	EPI_ISL_16847603	GISAID	 	CH.1.1	Complete	29834	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR122/2023	EPI_ISL_16847647	GISAID	 	CM.8.1	Partial	29822	Low	76/3/NA/NA/NA	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR16/2023	EPI_ISL_16847604	GISAID	 	CH.1.1.3	Complete	29834	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR110/2023	EPI_ISL_16847605	GISAID	 	CH.1.1.3	Complete	29831	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR34/2023	EPI_ISL_16847606	GISAID	 	CH.1.1.3	Complete	29832	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR15/2023	EPI_ISL_16847607	GISAID	 	CH.1.1.1	Complete	29831	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR23/2023	EPI_ISL_16847609	GISAID	 	CH.1.1.3	Complete	29834	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR44/2023	EPI_ISL_16847636	GISAID	 	BN.1.2	Complete	29831	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR43/2023	EPI_ISL_16847639	GISAID	 	BN.1.8	Complete	29822	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR126/2023	EPI_ISL_16847641	GISAID	 	CK.1.2	Complete	29825	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR151/2023	EPI_ISL_16847642	GISAID	 	BF.24	Complete	29822	High	0/4/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR96/2023	EPI_ISL_16847643	GISAID	 	BA.5.2.48	Complete	29820	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR77/2023	EPI_ISL_16847600	GISAID	 	CH.1.1.1	Complete	29834	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR53/2023	EPI_ISL_16847644	GISAID	 	BA.5.2	Complete	29783	High	0/1/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR1/2023	EPI_ISL_16847601	GISAID	 	CH.1.1.1	Complete	29823	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR148/2023	EPI_ISL_16847645	GISAID	 	CM.8.1	Partial	29836	Low	65/3/NA/NA/NA	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR125/2023	EPI_ISL_16847635	GISAID	 	BN.1.2	Complete	29816	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR75/2023	EPI_ISL_16847633	GISAID	 	BN.1.2	Complete	29828	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR65/2023	EPI_ISL_16847637	GISAID	 	BN.1	Complete	29826	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR99/2023	EPI_ISL_16847638	GISAID	 	BN.1.8	Complete	29826	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR40/2023	EPI_ISL_16847634	GISAID	 	BN.1.2	Complete	29824	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR90/2023	EPI_ISL_16847590	GISAID	 	BQ.1.1.11	Complete	29823	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR30/2023	EPI_ISL_16847591	GISAID	 	BQ.1	Complete	29829	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR28/2023	EPI_ISL_16847592	GISAID	 	BQ.1.23	Complete	29730	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR145/2023	EPI_ISL_16847593	GISAID	 	CJ.1.1	Complete	29828	High	0/3/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR130/2023	EPI_ISL_16847584	GISAID	 	BQ.1.1.13	Complete	29825	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR142/2023	EPI_ISL_16847594	GISAID	 	CJ.1.1	Complete	29828	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR84/2023	EPI_ISL_16847630	GISAID	 	BN.1.3	Complete	29836	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR123/2023	EPI_ISL_16847598	GISAID	 	CH.1.1.1	Complete	29835	High	0/2/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR46/2023	EPI_ISL_16847632	GISAID	 	BN.1.3	Complete	29822	High	0/2/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR41/2023	EPI_ISL_16847580	GISAID	 	BQ.1.12	Complete	29813	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR117/2023	EPI_ISL_16847624	GISAID	 	BN.1.4	Complete	29833	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR144/2023	EPI_ISL_16847629	GISAID	 	BN.1.3	Complete	29835	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR60/2023	EPI_ISL_16847582	GISAID	 	BQ.1.10	Partial	29437	High	0/0/NA/NA/NA	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR100/2023	EPI_ISL_16847625	GISAID	 	BN.1.4	Complete	29836	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR136/2023	EPI_ISL_16847583	GISAID	 	BQ.1.1.18	Partial	29502	High	0/0/NA/NA/NA	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR147/2023	EPI_ISL_16847588	GISAID	 	BQ.1.1	Complete	29815	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR95/2023	EPI_ISL_16847626	GISAID	 	BN.1.3.2	Complete	29828	High	0/2/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR108/2023	EPI_ISL_16847534	GISAID	 	XBB.1.9	Complete	29831	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR80/2023	EPI_ISL_16847627	GISAID	 	BN.1.3.2	Complete	29715	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR36/2023	EPI_ISL_16847621	GISAID	 	CH.1.1.3	Complete	29760	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR72/2023	EPI_ISL_16847617	GISAID	 	CH.1.1.3	Complete	29785	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR93/2023	EPI_ISL_16847586	GISAID	 	BQ.1.1	Complete	29829	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR10/2023	EPI_ISL_16847587	GISAID	 	BQ.1.1	Complete	29831	High	0/1/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR38/2023	EPI_ISL_16847620	GISAID	 	CH.1.1.3	Complete	29829	High	0/1/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR88/2023	EPI_ISL_16847589	GISAID	 	BQ.1.1	Complete	29810	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR70/2023	EPI_ISL_16847622	GISAID	 	BN.1.9	Complete	29834	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR12/2023	EPI_ISL_16847615	GISAID	 	CH.1.1.3	Complete	29829	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR68/2023	EPI_ISL_16847623	GISAID	 	BN.1.9	Complete	29789	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR59/2023	EPI_ISL_16847614	GISAID	 	CH.1.1.3	Complete	29826	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR64/2023	EPI_ISL_16847560	GISAID	 	XBB.1.2	Complete	29823	High	0/1/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR7/2023	EPI_ISL_16847616	GISAID	 	CH.1.1.3	Complete	29802	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR45/2023	EPI_ISL_16847618	GISAID	 	CH.1.1.3	Complete	29794	High	0/0/-/-/-	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR29/2023	EPI_ISL_16847619	GISAID	 	CH.1.1.3	Complete	29788	High	0/0/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR4/2023	EPI_ISL_16847570	GISAID	 	XBB.1	Complete	29625	High	0/1/-/-/-	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
hCoV-19/Singapore/R10MR107/2023	EPI_ISL_16847573	GISAID	 	XBB.1.9.1	Complete	29796	Low	271/4/NA/NA/NA	Homo sapiens	2023-01-31	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR139/2023	EPI_ISL_16847571	GISAID	 	XBB.1.9.1	Complete	29736	Low	102/3/NA/NA/NA	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR73/2023	EPI_ISL_16847572	GISAID	 	XBB.1.9	Complete	29835	Low	166/14/NA/NA/NA	Homo sapiens	2023-01-30	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:15:47
hCoV-19/Singapore/R10MR55/2023	EPI_ISL_16847531	GISAID	 	XBB.1.5	Complete	29831	High	0/0/-/-/-	Homo sapiens	2023-02-01	Singapore		2023-02-07		2023-02-10 14:15:47	2023-02-10 14:27:53
